"time","tank.T","tank.qLoss","der(tank.T)"
0.0,293.15,0.0,0.01
1000.0,302.2133333333333,380.65999999999997,0.008187333333333335
2000.0,309.6337864444444,692.3190306666662,0.0067032427111111135
3000.0,315.70915875494813,947.4846677078226,0.005488168249010369
4000.0,320.68326857796785,1156.3972802746507,0.004493346284406425
5000.0,324.75573809373486,1327.4409999368652,0.003678852381253023
6000.0,328.0900046352772,1467.4801946816426,0.003011999072944559
7000.0,330.81987979505595,1582.134951392351,0.0024660240409888046
8000.0,333.0549195842055,1676.0066225366318,0.002019016083158896
9000.0,334.88482116090853,1752.862488758159,0.00165303576781829
10000.0,336.3830225784745,1815.786948295929,0.0013533954843050998
11000.0,337.609650019083,1867.3053008014872,0.0011080699961833944
12000.0,338.61393079229055,1909.4850932762038,0.0009072138415418868
13000.0,339.43616893734134,1944.019095368337,0.0007427662125317284
14000.0,340.1093627146326,1972.2932340145699,0.0006081274570734768
15000.0,340.6605288998935,1995.4422137955282,0.0004978942200212942
16000.0,341.1117870279728,2014.395055174859,0.00040764259440543356
17000.0,341.48124709936894,2029.9123781734966,0.00033375058012620685
18000.0,341.78373637515665,2042.6169277565803,0.0002732527249686655
19000.0,342.0313944282199,2053.0185659852377,0.00022372111435601082
20000.0,342.23416033153126,2061.5347339243135,0.00018316793369374518
21000.0,342.4001715354357,2068.507204488299,0.0001499656929128616
22000.0,342.53609044177904,2074.2157985547205,0.00012278191164418785
23000.0,342.6473717810326,2078.889614803369,0.00010052564379348042
24000.0,342.7384815228574,2082.7162239600116,8.23036954285163e-05
25000.0,342.8130761054808,2085.8491964301934,6.7384778903841e-05
